DATE,WFRBLB50107
1989-07-01,776207.0
1989-10-01,751366.0
1990-01-01,789854.0
1990-04-01,767666.0
1990-07-01,805885.0
1990-10-01,804910.0
1991-01-01,825124.0
1991-04-01,844301.0
1991-07-01,892713.0
1991-10-01,923181.0
1992-01-01,933896.0
1992-04-01,939108.0
1992-07-01,1003655.0
1992-10-01,1006282.0
1993-01-01,949192.0
1993-04-01,975644.0
1993-07-01,997909.0
1993-10-01,986367.0
1994-01-01,953356.0
1994-04-01,944486.0
1994-07-01,963181.0
1994-10-01,927450.0
1995-01-01,953275.0
1995-04-01,1030320.0
1995-07-01,1070497.0
1995-10-01,1071035.0
1996-01-01,1089983.0
1996-04-01,1088175.0
1996-07-01,1089752.0
1996-10-01,1067346.0
1997-01-01,1096600.0
1997-04-01,1138729.0
1997-07-01,1188482.0
1997-10-01,1175554.0
1998-01-01,1256620.0
1998-04-01,1230770.0
1998-07-01,1280813.0
1998-10-01,1258483.0
1999-01-01,1301017.0
1999-04-01,1294662.0
1999-07-01,1319576.0
1999-10-01,1342569.0
2000-01-01,1407151.0
2000-04-01,1401976.0
2000-07-01,1444811.0
2000-10-01,1385787.0
2001-01-01,1368921.0
2001-04-01,1381304.0
2001-07-01,1365330.0
2001-10-01,1326405.0
2002-01-01,1321663.0
2002-04-01,1277606.0
2002-07-01,1293896.0
2002-10-01,1323995.0
2003-01-01,1260500.0
2003-04-01,1187142.0
2003-07-01,1205475.0
2003-10-01,1300350.0
2004-01-01,1270760.0
2004-04-01,1323501.0
2004-07-01,1351982.0
2004-10-01,1355854.0
2005-01-01,1360111.0
2005-04-01,1369466.0
2005-07-01,1430976.0
2005-10-01,1476960.0
2006-01-01,1492588.0
2006-04-01,1467613.0
2006-07-01,1452005.0
2006-10-01,1477669.0
2007-01-01,1505561.0
2007-04-01,1457161.0
2007-07-01,1352558.0
2007-10-01,1215089.0
2008-01-01,1153224.0
2008-04-01,1093036.0
2008-07-01,795533.0
2008-10-01,758755.0
2009-01-01,794104.0
2009-04-01,686221.0
2009-07-01,549703.0
2009-10-01,470981.0
2010-01-01,425500.0
2010-04-01,324277.0
2010-07-01,390081.0
2010-10-01,365980.0
2011-01-01,323265.0
2011-04-01,250796.0
2011-07-01,361949.0
2011-10-01,433406.0
2012-01-01,454880.0
2012-04-01,455745.0
2012-07-01,530074.0
2012-10-01,610564.0
2013-01-01,578228.0
2013-04-01,635161.0
2013-07-01,711077.0
2013-10-01,687808.0
2014-01-01,715075.0
2014-04-01,801630.0
2014-07-01,836701.0
2014-10-01,827662.0
2015-01-01,888166.0
2015-04-01,891114.0
2015-07-01,930814.0
2015-10-01,1014964.0
2016-01-01,1064521.0
2016-04-01,1065760.0
2016-07-01,1187999.0
2016-10-01,1205223.0
2017-01-01,1242090.0
2017-04-01,1362020.0
2017-07-01,1430234.0
2017-10-01,1459241.0
2018-01-01,1525713.0
2018-04-01,1657504.0
2018-07-01,1719759.0
2018-10-01,1681112.0
2019-01-01,1760447.0
2019-04-01,1846118.0
2019-07-01,1996523.0
2019-10-01,2100057.0
2020-01-01,2032144.0
2020-04-01,2122455.0
2020-07-01,2205243.0
2020-10-01,2395183.0
2021-01-01,2549646.0
2021-04-01,2921184.0
2021-07-01,3293271.0
2021-10-01,3551120.0
2022-01-01,3667634.0
2022-04-01,4113691.0
2022-07-01,4243940.0
2022-10-01,4161194.0
