Year,Races,Number_thousands,Total,"Under_15,000","15,000_to_24,999","25,000_to_34,999","35,000_to_49,999","50,000_to_74,999","75,000_to_99,999","100,000_to_149,999","150,000_to_199,999","200,000_and_over",Median_income,Margin_of_error_for_median,Mean_income,Margin_of_error_for_mean
2021,All races,131202,100,9.3,8.1,7.8,10.9,16.2,11.9,15.9,8.3,11.6,70784,605,102316,1029
2020,All races,129244,100,8.8,8.2,8.1,11,16.2,12.3,15.8,8.4,11.3,71186,921,102020,1098
2019,All races,128451,100,8.5,7.5,8,11.3,16.1,12.1,16.3,8.7,11.5,72808,959,103949,1104
2018,All races,128579,100,9.4,8.3,8.4,11.5,16.4,12.8,15.6,7.9,9.8,68168,746,97129,969
2017,All races,127669,100,9.4,8.6,8.6,11.8,15.8,12.6,15.2,7.7,10.1,67571,585,96868,1037
2017,All races,127586,100,9.5,8.8,8.5,11.8,15.6,12.8,15.3,7.9,9.7,67832,609,95296,945
2016,All races,126224,100,9.8,8.5,8.6,11.8,16.5,12.2,15.6,7.8,9.2,66657,810,93871,871
2015,All races,125819,100,9.8,9.3,9.3,11.7,16.2,12.1,15.7,7.6,8.4,64631,604,90645,758
2014,All races,124587,100,10.7,9.7,9.5,12,16.6,11.9,14.7,7.1,7.8,61468,739,86763,840
2013,All races,123931,100,10.5,9.9,9.2,11.8,16.5,12.4,14.5,7.1,8,62425,1253,87599,1272
2013,All races,122952,100,10.4,10.1,9.5,12.1,16.9,12.9,14.2,6.9,6.9,60507,529,84624,956
2012,All races,122459,100,10.4,10.3,9.2,12.9,16.6,12.5,14.5,6.8,6.9,60313,406,84262,819
2011,All races,121084,100,10.6,9.8,9.2,13.3,17,12.2,14.4,6.8,6.8,60428,498,84118,731
2010,All races,119927,100,10.6,10.1,9.1,12.8,16.6,12.3,14.9,6.9,6.8,61364,666,83924,737
2009,All races,117538,100,9.3,9.4,9.6,12.5,17.1,12.8,15.3,7,7.1,63011,444,86048,506
2008,All races,117181,100,9.3,9.3,9.5,12.4,16.8,12.9,15.6,7.2,7,63455,284,86314,502
2007,All races,116783,100,8.9,9.4,8.9,12,17.1,12.8,15.9,7.5,7.4,65801,302,88562,509
2006,All races,116011,100,9,8.9,8.8,12.8,17.2,12.6,15.8,7.2,7.7,64930,459,89674,569
2005,All races,114384,100,9.3,9,9.4,12.1,17.1,13,15.8,7,7.4,64427,355,88094,547
2004,All races,113343,100,9.5,9.1,9.1,12.3,17.4,12.7,15.8,7,7.1,63745,464,86940,539
2003,All races,112000,100,9.4,9.3,8.7,12.4,17.2,12.5,16.1,7.2,7.1,63967,457,87223,525
2002,All races,111278,100,9,9.5,8.7,12.6,16.7,13.4,15.9,7.4,6.8,64047,345,87369,539
2001,All races,109297,100,8.7,9.3,8.5,12.6,16.9,13.4,16.1,7.2,7.3,64779,326,89293,585
2000,All races,108209,100,8.4,8.9,8.6,12.5,17.1,13.4,16.3,7.4,7.3,66248,343,90142,584
1999,All races,106434,100,8.3,9,8.7,12.6,16.9,13.5,16.3,7.3,7.3,66385,510,89289,762
1998,All races,103874,100,9.1,9.3,8.7,12.4,17.2,13.7,16.2,7.1,6.4,64781,630,86389,767
1997,All races,102528,100,9.4,9.5,9.3,12.2,17.9,13.3,15.9,6.5,6,62484,475,83907,772
1996,All races,101018,100,9.7,9.9,9.4,12.6,17.8,13.4,15.8,6,5.5,61225,508,81289,749
1995,All races,99627,100,9.7,10,9.4,13,18.4,13.5,15.1,5.9,5,60348,574,79584,717
1994,All races,98990,100,10.5,10.1,9.6,13.1,18.1,13,15,5.6,4.9,58515,439,78228,692
1993,All races,97107,100,10.9,10.1,9.4,13.5,18.3,13,14.5,5.7,4.5,57843,445,76704,682
1992,All races,96426,100,10.8,10.4,9.4,13.2,18.4,13.7,14.7,5.5,4,58153,453,73726,509
1991,All races,95669,100,10.6,9.9,9.1,13.6,18.7,13.9,14.7,5.6,4,58607,464,73773,499
1990,All races,94312,100,10.2,9.6,9,13,19.5,13.7,15,5.5,4.4,60370,507,75411,524
1989,All races,93347,100,9.8,9.4,9.5,12.7,18.9,14,15.5,5.8,4.5,61153,553,77261,553
1988,All races,92830,100,10.5,9.4,9.2,12.9,18.5,14.6,15.3,5.4,4.3,60115,483,75112,552
1987,All races,91124,100,10.8,9.5,9.3,12.9,18.7,14.3,15.2,5.3,3.9,59624,463,74149,501
1986,All races,89479,100,11.1,9.6,9.1,13.5,18.7,14.4,14.8,5.1,3.7,58920,502,72793,487
1985,All races,88458,100,11.1,10,9.6,13.7,19.5,14,14.3,4.6,3.2,56871,507,69990,456
1984,All races,86789,100,11.1,10.5,9.8,13.9,19.6,13.7,14,4.5,3,55828,418,68403,414
1983,All races,85407,100,11.4,10.4,10.3,14.1,19.7,14,13.3,4,2.6,54182,405,65897,405
1982,All races,83918,100,11.7,10.5,10.1,14,20.4,13.9,13.1,3.8,2.6,54564,405,65758,400
1981,All races,83527,100,11.5,10.3,10.7,13.8,20,14.3,13.4,3.8,2.2,54713,472,65363,392
1980,All races,82368,100,11,10.4,10.2,13.7,20.2,15,13.4,4,2.2,55596,470,66122,398
1979,All races,80776,100,10.8,9.9,9.6,13.7,20.1,15.3,13.9,4.1,2.6,57462,448,68259,425
1978,All races,77330,100,10.5,10.3,9.7,13.7,20.1,15.5,13.9,3.9,2.4,57572,384,67761,428
1977,All races,76030,100,10.8,11,9.7,13.9,20.6,14.9,13.5,3.3,2.2,55427,343,65751,329
1976,All races,74142,100,11,10.6,10.1,13.9,21.2,15.3,12.7,3.2,2,55078,336,64786,329
1975,All races,72867,100,11.2,10.9,10,14.2,21.7,14.8,12.4,2.9,1.8,54180,363,63266,325
1974,All races,71163,100,10.8,10.2,9.7,14.4,21.7,15.3,12.5,3.3,2,55636,351,65062,335
1973,All races,69859,100,10.7,10.4,9.1,13.4,21.5,15.7,13.4,3.6,2.3,57456,360,66447,333
1972,All races,68251,100,11.4,10,9.6,13.7,21.8,15.6,12.5,3.3,2.2,56319,353,65548,334
1971,All races,66676,100,12.4,9.7,9.8,14.7,23.2,14.6,11.3,2.8,1.6,54006,344,62111,325
1970,All races,64778,100,12.4,9.6,9.4,14.5,23.5,14.9,11.3,2.8,1.7,54536,329,62448,329
1969,All races,63401,100,12.3,9.3,9.2,14.6,23.8,15.5,11.1,2.7,1.6,54962,334,62530,323
1968,All races,62214,100,12.5,9.7,9.6,15.5,24.3,14.9,9.9,2.2,1.3,52992,315,59953,315
1967,All races,60813,100,13.8,10,9,17.1,24.6,13.3,8.7,2.1,1.4,50803,304,56820,304
2021,Whited,102057,100,8.2,7.6,7.6,10.8,16.2,12.3,16.6,8.6,12.1,74262,912,105804,1183
2020,Whited,100931,100,7.5,7.7,7.9,10.9,16.1,12.7,16.5,8.8,11.8,74978,771,105209,1250
2019,Whited,100568,100,7.2,7.1,7.5,11.1,16.3,12.5,17,9.1,12.2,76519,848,107812,1264
2018,Whited,100528,100,7.8,7.8,8.1,11.3,16.6,13.3,16.4,8.3,10.4,72229,697,101366,1115
2017,Whited,100113,100,8,8.1,8.3,11.6,16,13,16,8.2,10.8,71658,931,101153,1167
2017,Whited,100065,100,8,8.3,8.3,11.5,15.8,13.1,16.2,8.5,10.3,72144,756,99067,1095
2016,Whited,99400,100,8.3,8,8.4,11.7,16.8,12.5,16.5,8.2,9.7,69840,620,97485,992
2015,Whited,99313,100,8.1,8.8,9.2,11.7,16.2,12.5,16.6,7.9,8.9,68740,717,94033,884
2014,Whited,98679,100,9.2,9.3,9.2,11.9,16.8,12.4,15.5,7.5,8.4,65144,669,90374,986
2013,Whited,98807,100,9,9.6,9,11.6,16.6,13,15.2,7.5,8.5,66106,991,90663,1453
2013,Whited,97774,100,8.8,9.6,9.2,12,17.1,13.5,14.9,7.4,7.4,64372,814,88350,1043
2012,Whited,97705,100,8.7,9.9,9.1,12.8,16.7,13,15.3,7.2,7.4,63492,747,87976,902
2011,Whited,96964,100,8.9,9.3,9,13.2,17.3,12.7,15.1,7.2,7.4,63036,447,87903,838
2010,Whited,96306,100,8.8,9.8,8.8,12.8,16.9,12.6,15.8,7.3,7.3,64394,518,87685,830
2009,Whited,95489,100,7.8,9,9.4,12.3,17.3,13.2,16,7.5,7.5,65649,321,89299,566
2008,Whited,95297,100,7.9,9,9.2,12.2,16.8,13.4,16.4,7.5,7.5,65990,315,89805,569
2007,Whited,95112,100,7.5,9,8.7,11.8,17.2,13.1,16.6,8,8,68266,332,92128,577
2006,Whited,94705,100,7.6,8.5,8.6,12.6,17.4,13,16.6,7.5,8.2,68260,326,93091,638
2005,Whited,93588,100,7.8,8.5,9.2,12.1,17.2,13.3,16.6,7.4,7.9,67525,485,91735,625
2004,Whited,92880,100,8,8.9,8.9,12.1,17.5,13,16.5,7.5,7.6,67087,433,90453,613
2003,Whited,91962,100,8,8.8,8.6,12.3,17.4,12.8,16.8,7.6,7.6,67383,435,90945,600
2002,Whited,91645,100,7.7,9.1,8.5,12.3,16.7,13.8,16.8,7.8,7.3,68090,455,90864,609
2001,Whited,90682,100,7.4,9,8.3,12.4,16.9,13.7,16.8,7.6,7.8,68290,527,92827,656
2000,Whited,90030,100,7.2,8.6,8.2,12.3,17.2,13.7,17.1,7.8,7.8,69286,503,93485,659
1999,Whited,88893,100,7,8.6,8.6,12.4,17.1,13.8,17.2,7.6,7.7,69042,574,92533,861
1998,Whited,87212,100,7.5,8.8,8.5,12.3,17.3,14.2,16.9,7.5,7,68158,562,90307,874
1997,Whited,86106,100,8,9.1,9.1,12,18,13.7,16.7,6.9,6.5,65805,686,87638,878
1996,Whited,85059,100,8.2,9.4,9.2,12.5,17.9,14,16.5,6.3,5.9,64104,545,84516,823
1995,Whited,84511,100,8.2,9.5,9.2,12.9,18.7,13.9,15.9,6.3,5.5,63341,545,82756,789
1994,Whited,83737,100,8.8,9.7,9.3,13.1,18.6,13.4,15.8,6,5.4,61714,570,81675,782
1993,Whited,82387,100,9.1,9.6,9.2,13.4,18.8,13.6,15.4,6,4.9,61026,585,80143,761
1992,Whited,81795,100,8.9,9.8,9.2,13.2,18.8,14.2,15.6,5.9,4.4,61139,487,77055,565
1991,Whited,81675,100,8.7,9.4,9,13.6,19.1,14.4,15.6,6,4.3,61414,490,76888,550
1990,Whited,80968,100,8.5,9.1,8.9,13,19.9,14.2,15.9,5.8,4.8,62967,474,78453,577
1989,Whited,80163,100,8.1,8.9,9.2,12.5,19.3,14.7,16.3,6.2,4.9,64327,515,80479,613
1988,Whited,79734,100,8.8,8.6,9,12.8,19,15.2,16.1,5.8,4.6,63551,617,78316,607
1987,Whited,78519,100,9,8.9,9,12.8,19.2,15,16.1,5.7,4.2,62820,519,77318,549
1986,Whited,77284,100,9.5,9,8.8,13.4,19.1,15,15.8,5.4,4,61944,494,75824,533
1985,Whited,76576,100,9.5,9.5,9.3,13.6,19.9,14.6,15.1,5,3.5,59978,527,72863,503
1984,Whited,75328,100,9.5,9.8,9.4,13.9,20.2,14.4,14.7,4.8,3.2,58896,488,71225,455
1983,Whited,74376,100,9.7,9.7,10.1,14.1,20.3,14.7,14.1,4.3,2.9,56820,422,68632,440
1982,Whited,73182,100,10.1,9.9,9.7,14.1,20.9,14.5,13.9,4.1,2.8,57123,427,68468,441
1981,Whited,72845,100,9.9,9.6,10.4,13.8,20.6,15,14.1,4.1,2.4,57808,439,68103,425
1980,Whited,71872,100,9.5,9.7,9.8,13.7,20.7,15.7,14.2,4.3,2.4,58654,496,68791,434
1979,Whited,70766,100,9.4,9.2,9.2,13.6,20.6,16,14.7,4.5,2.8,60248,471,70951,465
1978,Whited,68028,100,9.1,9.8,9.4,13.6,20.4,16.3,14.6,4.2,2.7,59850,434,70272,465
1977,Whited,66934,100,9.6,10.3,9.3,13.7,21.2,15.6,14.3,3.6,2.4,58286,403,68320,363
1976,Whited,65353,100,9.7,9.8,9.8,13.9,21.6,16,13.5,3.4,2.2,57697,393,67279,357
1975,Whited,64392,100,10,10.3,9.8,14,22.2,15.4,13.2,3.1,2,56659,340,65603,355
1974,Whited,62984,100,9.6,9.5,9.3,14.2,22.3,16,13.3,3.6,2.2,58185,360,67472,360
1973,Whited,61965,100,9.6,9.6,8.7,13.2,21.9,16.4,14.3,3.8,2.5,60216,378,69016,360
1972,Whited,60618,100,10.3,9.2,9,13.5,22.4,16.2,13.3,3.6,2.4,59083,373,68097,363
1971,Whited,59463,100,11.2,9.1,9.3,14.4,23.9,15.3,12,3,1.8,56488,354,64360,344
1970,Whited,57575,100,11.3,8.9,8.9,14.3,24.2,15.6,12,3,1.8,56803,360,64633,349
1969,Whited,56248,100,11.1,8.6,8.7,14.3,24.5,16.3,11.8,2.9,1.7,57360,345,64849,356
1968,Whited,55394,100,11.4,9,9.1,15.5,25.1,15.7,10.5,2.3,1.5,55176,338,62108,338
1967,Whited,54188,100,12.6,9.2,8.6,17,25.5,14,9.3,2.2,1.5,52980,316,58897,328
2021,White,85078,100,7.6,7.5,7.2,10.2,15.7,12.3,17,9.2,13.3,77999,1080,110758,1388
2020,White,84712,100,7.1,7.4,7.5,10.3,15.7,12.7,17,9.4,12.9,78912,889,110284,1451
2019,White,84868,100,6.8,6.9,7,10.7,15.7,12.5,17.6,9.6,13.3,80602,928,113033,1440
2018,White,84727,100,7.3,7.4,7.6,10.7,16.3,13.3,17.1,8.8,11.5,76220,703,106020,1262
2017,White,84706,100,7.5,7.8,7.9,11.1,15.6,13.1,16.5,8.8,11.8,75367,1225,105839,1284
2017,White,84681,100,7.5,8,7.9,11,15.4,13.1,16.7,9,11.3,75318,1160,103290,1202
2016,White,84387,100,7.8,7.6,8,11.1,16.6,12.4,17.1,8.7,10.6,73433,947,101339,1131
2015,White,84445,100,7.5,8.5,8.6,11.3,15.9,12.7,17.5,8.5,9.6,71989,1020,97875,999
2014,White,84228,100,8.6,8.9,8.6,11.4,16.5,12.6,16.1,8.1,9.2,69027,693,94469,1091
2013,White,84432,100,8.4,9,8.3,11,16.7,13.5,15.9,8,9.3,70281,1021,94628,1625
2013,White,83641,100,8.1,9.2,8.6,11.6,17,13.8,15.5,8,8.2,67882,1173,92428,1209
2012,White,83792,100,7.9,9.4,8.7,12.2,16.6,13.4,16,7.8,8.1,67397,698,92028,1002
2011,White,83573,100,8.1,9,8.6,12.6,17.1,13,15.8,7.7,8.1,66897,651,91828,949
2010,White,83314,100,8.1,9.4,8.3,12.3,16.7,12.9,16.6,7.8,8,67820,914,91323,942
2009,White,83158,100,7.3,8.5,8.9,11.8,17.3,13.4,16.7,8,8.1,68940,581,92712,623
2008,White,82884,100,7.3,8.6,8.8,11.6,16.6,13.6,17.1,8,8.2,70049,467,93477,629
2007,White,82765,100,7,8.7,8.3,11.2,17,13.2,17.3,8.6,8.7,71941,532,95862,636
2006,White,82675,100,7.1,8.2,8.2,12.1,17.1,13.2,17.2,8,8.9,70617,417,96645,702
2005,White,82003,100,7.4,8.3,8.6,11.7,16.9,13.5,17.3,7.9,8.5,70627,393,95408,693
2004,White,81628,100,7.5,8.6,8.4,11.7,17.1,13.2,17.3,7.9,8.2,70325,530,93830,672
2003,White,81148,100,7.5,8.5,8.2,11.7,17.2,13,17.5,8.2,8.2,70552,561,94341,658
2002,White,81166,100,7.3,8.8,8.1,11.8,16.5,14,17.4,8.3,7.9,70829,457,93807,656
2001,White,80818,100,7.1,8.7,8,12,16.6,13.8,17.4,8.1,8.4,71033,485,95791,714
2000,White,80527,100,6.9,8.4,7.9,12,16.9,13.7,17.6,8.3,8.3,71979,475,96330,711
1999,White,79819,100,6.6,8.2,8.3,12,16.8,14,17.7,8.1,8.2,72030,749,95568,931
1998,White,78577,100,6.9,8.4,8.1,11.9,17.2,14.4,17.7,7.9,7.4,70702,669,93199,937
1997,White,77936,100,7.3,8.7,8.7,11.7,17.9,13.9,17.4,7.3,6.9,68516,589,90446,N
1996,White,77240,100,7.6,8.9,8.8,12.3,17.9,14.4,17.2,6.7,6.3,66909,755,87073,N
1995,White,76932,100,7.4,9,8.9,12.5,18.7,14.3,16.6,6.7,5.8,65841,565,85455,842
1994,White,77004,100,8.2,9.3,9.1,12.9,18.6,13.7,16.3,6.2,5.6,63706,555,83756,817
1993,White,75697,100,8.6,9.1,8.9,13.1,18.8,14,15.9,6.3,5.2,63272,609,82255,807
1992,White,75107,100,8.4,9.4,8.9,12.9,18.7,14.5,16.2,6.2,4.7,63191,643,79012,600
1991,White,75625,100,8.3,9.1,8.7,13.4,19.1,14.6,16.1,6.3,4.5,62881,509,78537,576
1990,White,75035,100,8,8.7,8.7,12.8,19.9,14.4,16.4,6.1,5,64407,494,80191,597
1989,White,74495,100,7.6,8.7,9,12.3,19.3,14.8,16.7,6.4,5.1,65710,529,82091,661
1988,White,74067,100,8.4,8.3,8.8,12.7,19,15.4,16.6,6,4.8,65302,632,79915,617
1987,White,73120,100,8.5,8.6,8.8,12.7,19.3,15.2,16.6,5.9,4.4,64547,591,78830,602
1986,White,72067,100,9.1,8.7,8.5,13.3,19.2,15.3,16.2,5.6,4.2,63352,537,77329,584
