"Years","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Visas granted (People)","5904055","5805795","6192478","7141636","7588778","5769437","4881634","5049099","5388951","5836730","6444285","6603076","5804182","6422751","7507939","8927090","9164349","9932480","10891745.24","10381491","9681913","9028026","8742068","4013210","2792083"
"    By type of visa",,,,,,,,,,,,,,,,,,,,,,,,,
"        Temporary workers and their families (People)","283006","319919","386354","461413","529194","464507","456852","511787","504719","572438","651826","598695","465803","493675","523643","542103","606731","665183","733544","803827","834257","852667","890138","595596","590931"
"            Type of temp worker and family visa",,,,,,,,,,,,,,,,,,,,,,,,,
"                (H1B) Temporary workers in specialty occupations  (People)","80547","91360","116513","133290","161643","118352","107196","138965","124099","135421","154053","129464","110367","117409","129134","135530","153223","161369","172748","180057","179049","179660","188123","124983","61569"
"                (H2A) Agricultural workers  (People)","16011","22676","28568","30201","31523","31538","29882","31774","31892","37149","50791","64404","60112","55921","55384","65345","74192","89274","108144","134368","161583","196409","204801","213394","257898"
"                (H2B) Nonagricultural workers (People)","15706","20192","30642","45037","58215","62591","78955","76169","87492","71687","60227","94304","44847","47403","50826","50009","57600","68102","69684","84627","83600","83774","97623","61865","95053"
"                (H3) Trainees  (People)","1747","1830","1892","1514","1613","1387","1417","1410","1763","2369","3096","3427","2084","1778","2108","2927","2712","2239","1669","1435","1232","1036","1035","475","382"
"                (O1) Workers with extraordinary ability or achievement  (People)","3345","4257","5009","6466","6666","6026","6126","6437","6712","6961","7653","9014","9368","8589","8828","10590","12359","12706","13865","15918","17011","16904","17751","8838","7294"
"                (R1) Workers in religious occupations  (People)","5082","5450","6497","7418","8503","8646","8636","8806","8538","8716","10372","10061","2771","3390","3717","4340","4754","4599","4572","4764","4942","4607","4583","1732","1942"
"                (P1) Internationally recognized athletes or entertainers  (People)","18991","20598","22306","23786","24378","24287","25643","22269","23907","22698","24737","27240","23920","25186","24687","24825","23269","23335","24262","24858","24932","24320","25601","11710","8825"
"                (L1) Intracompany transferees  (People)","36589","38307","41739","54963","59384","57721","57245","62700","65458","72613","84532","84078","64696","74719","70728","62430","66700","71513","78537","79306","78178","74388","76988","35942","24863"
"                Other Workers (People)","11320","12869","12776","15565","12791","12602","12487","14171","18978","69582","89855","23563","20167","17231","19278","23717","28088","30862","33463","43249","43561","43248","46907","24136","30613"
"                    Other type of workers",,,,,,,,,,,,,,,,,,,,,,,,,
"                        (CW1) CNMI-only transitional workers  (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","431","1943","2112","3103","8093","6198","3002","3263","975","400"
"                        (H1A) Temporary Nurses  (People)","61","18","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,
"                        (H1B1) Chile and Singapore Free Trade Agreement aliens (People)","0","0","0","0","0","0","0","72","275","440","639","719","621","419","418","461","571","870","1051","1294","1391","1498","1724","1083","1586"
